iter	Passed	Remaining
0	22	22921
1	41	20839
2	53	17808
3	62	15668
4	72	14344
5	80	13268
6	89	12641
7	97	12048
8	106	11735
9	114	11350
10	124	11172
11	133	10996
12	141	10741
13	150	10597
14	158	10397
15	167	10278
16	175	10158
17	184	10068
18	193	9992
19	202	9932
20	211	9838
21	220	9796
22	228	9711
23	237	9653
24	245	9577
25	254	9538
26	262	9476
27	271	9434
28	280	9398
29	289	9347
30	298	9316
31	305	9255
32	314	9226
33	322	9175
34	331	9150
35	339	9103
36	349	9090
37	357	9048
38	366	9031
39	374	8995
40	383	8971
41	391	8940
42	400	8920
43	409	8898
44	418	8891
45	428	8876
46	436	8853
47	445	8831
48	453	8803
49	462	8787
50	470	8757
51	479	8742
52	487	8716
53	496	8699
54	505	8679
55	514	8676
56	523	8658
57	532	8649
58	540	8624
59	550	8625
60	559	8605
61	567	8583
62	576	8571
63	584	8548
64	593	8535
65	601	8514
66	610	8505
67	618	8479
68	627	8466
69	635	8444
70	644	8434
71	652	8412
72	661	8405
73	670	8385
74	678	8370
75	687	8353
76	695	8337
77	703	8321
78	712	8309
79	720	8289
80	729	8279
81	737	8256
82	745	8241
83	754	8222
84	762	8212
85	771	8196
86	781	8196
87	789	8184
88	798	8172
89	807	8166
90	816	8156
91	825	8146
92	833	8125
93	842	8115
94	851	8109
95	860	8104
96	869	8093
97	878	8087
98	887	8079
99	896	8069
100	906	8067
101	915	8056
102	925	8056
103	933	8043
104	943	8040
105	952	8034
106	961	8023
107	970	8016
108	979	8002
109	988	7997
110	996	7984
111	1006	7978
112	1014	7965
113	1024	7958
114	1032	7943
115	1041	7937
116	1050	7924
117	1058	7912
118	1067	7903
119	1076	7892
120	1085	7886
121	1094	7878
122	1104	7872
123	1112	7859
124	1121	7851
125	1130	7839
126	1139	7830
127	1148	7821
128	1157	7813
129	1166	7808
130	1175	7800
131	1185	7795
132	1195	7793
133	1205	7792
134	1216	7791
135	1224	7780
136	1234	7775
137	1241	7756
138	1250	7747
139	1258	7728
140	1267	7719
141	1274	7700
142	1283	7690
143	1290	7673
144	1299	7664
145	1307	7648
146	1316	7637
147	1323	7621
148	1332	7610
149	1340	7594
150	1349	7586
151	1357	7570
152	1365	7561
153	1373	7547
154	1382	7535
155	1389	7519
156	1398	7509
157	1406	7496
158	1415	7488
159	1423	7472
160	1431	7461
161	1439	7448
162	1448	7440
163	1456	7426
164	1466	7420
165	1474	7409
166	1484	7403
167	1492	7389
168	1500	7379
169	1508	7365
170	1516	7353
171	1524	7339
172	1533	7328
173	1540	7314
174	1549	7303
175	1557	7292
176	1566	7284
177	1574	7272
178	1584	7266
179	1593	7257
180	1602	7248
181	1612	7249
182	1621	7237
183	1630	7229
184	1638	7217
185	1647	7209
186	1655	7198
187	1664	7189
188	1672	7176
189	1681	7167
190	1689	7155
191	1697	7145
192	1706	7136
193	1715	7127
194	1724	7117
195	1732	7105
196	1741	7097
197	1749	7085
198	1758	7076
199	1766	7066
200	1776	7060
201	1784	7051
202	1794	7043
203	1801	7030
204	1810	7020
205	1818	7009
206	1827	6999
207	1835	6989
208	1844	6979
209	1852	6968
210	1860	6957
211	1868	6945
212	1877	6935
213	1885	6924
214	1894	6916
215	1902	6904
216	1910	6893
217	1918	6880
218	1926	6871
219	1935	6860
220	1943	6851
221	1952	6841
222	1960	6830
223	1968	6818
224	1976	6808
225	1985	6799
226	1993	6789
227	2003	6782
228	2012	6775
229	2021	6768
230	2029	6756
231	2038	6748
232	2046	6736
233	2057	6733
234	2065	6724
235	2076	6721
236	2087	6720
237	2097	6717
238	2107	6710
239	2115	6697
240	2124	6689
241	2131	6677
242	2141	6670
243	2149	6660
244	2157	6649
245	2167	6642
246	2174	6629
247	2183	6621
248	2191	6609
249	2200	6602
250	2208	6591
251	2218	6585
252	2226	6573
253	2237	6570
254	2245	6559
255	2254	6553
256	2263	6545
257	2272	6535
258	2280	6523
259	2288	6512
260	2296	6503
261	2304	6491
262	2313	6483
263	2321	6470
264	2328	6459
265	2337	6450
266	2346	6443
267	2354	6431
268	2363	6423
269	2372	6413
270	2381	6407
271	2390	6398
272	2399	6391
273	2407	6379
274	2416	6370
275	2424	6360
276	2434	6353
277	2442	6344
278	2452	6336
279	2461	6329
280	2470	6320
281	2479	6313
282	2487	6301
283	2495	6291
284	2503	6280
285	2511	6271
286	2519	6259
287	2529	6254
288	2537	6242
289	2546	6233
290	2553	6221
291	2562	6213
292	2571	6203
293	2580	6197
294	2589	6188
295	2600	6185
296	2611	6180
297	2620	6173
298	2632	6171
299	2643	6168
300	2654	6164
301	2664	6157
302	2675	6154
303	2687	6152
304	2696	6145
305	2708	6143
306	2718	6136
307	2728	6131
308	2740	6129
309	2750	6121
310	2761	6117
311	2772	6113
312	2782	6107
313	2794	6104
314	2805	6101
315	2814	6091
316	2825	6087
317	2836	6082
318	2845	6075
319	2856	6070
320	2865	6060
321	2875	6054
322	2886	6049
323	2895	6040
324	2905	6034
325	2913	6023
326	2924	6018
327	2935	6014
328	2944	6006
329	2955	6000
330	2963	5989
331	2972	5980
332	2981	5972
333	2990	5963
334	3001	5959
335	3010	5949
336	3021	5943
337	3031	5936
338	3040	5929
339	3052	5925
340	3061	5916
341	3071	5910
342	3083	5905
343	3092	5896
344	3103	5892
345	3114	5886
346	3123	5877
347	3133	5870
348	3143	5863
349	3155	5859
350	3167	5856
351	3177	5849
352	3189	5846
353	3202	5843
354	3214	5839
355	3223	5831
356	3234	5826
357	3244	5818
358	3254	5810
359	3265	5805
360	3273	5794
361	3285	5789
362	3295	5783
363	3304	5774
364	3316	5769
365	3328	5766
366	3337	5756
367	3349	5752
368	3358	5743
369	3369	5736
370	3380	5731
371	3394	5730
372	3405	5723
373	3415	5716
374	3425	5708
375	3435	5701
376	3448	5698
377	3461	5695
378	3471	5687
379	3484	5684
380	3495	5679
381	3505	5671
382	3516	5665
383	3528	5660
384	3537	5650
385	3548	5644
386	3560	5639
387	3567	5627
388	3578	5620
389	3587	5610
390	3595	5600
391	3603	5589
392	3612	5578
393	3621	5569
394	3628	5557
395	3637	5547
396	3644	5535
397	3652	5524
398	3659	5512
399	3667	5501
400	3675	5490
401	3682	5478
402	3691	5468
403	3699	5457
404	3708	5448
405	3716	5437
406	3726	5428
407	3735	5419
408	3743	5408
409	3751	5398
410	3759	5387
411	3767	5376
412	3775	5365
413	3783	5354
414	3790	5343
415	3798	5332
416	3806	5321
417	3813	5310
418	3822	5300
419	3829	5288
420	3837	5278
421	3845	5267
422	3853	5256
423	3861	5245
424	3869	5235
425	3877	5224
426	3886	5214
427	3893	5203
428	3901	5193
429	3909	5182
430	3917	5172
431	3925	5160
432	3933	5150
433	3941	5139
434	3949	5129
435	3957	5118
436	3965	5108
437	3973	5098
438	3982	5089
439	3990	5079
440	3998	5068
441	4007	5058
442	4015	5048
443	4023	5038
444	4033	5030
445	4043	5022
446	4059	5021
447	4068	5013
448	4078	5005
449	4087	4995
450	4096	4986
451	4105	4977
452	4114	4967
453	4124	4959
454	4132	4949
455	4142	4941
456	4150	4931
457	4159	4922
458	4168	4912
459	4177	4904
460	4185	4893
461	4193	4883
462	4201	4873
463	4209	4863
464	4217	4852
465	4225	4842
466	4232	4831
467	4240	4820
468	4248	4810
469	4256	4800
470	4264	4789
471	4273	4780
472	4280	4769
473	4289	4760
474	4297	4749
475	4305	4739
476	4313	4729
477	4321	4719
478	4329	4709
479	4338	4699
480	4345	4688
481	4354	4679
482	4362	4669
483	4372	4661
484	4380	4651
485	4388	4641
486	4396	4631
487	4404	4621
488	4412	4611
489	4420	4601
490	4428	4590
491	4436	4581
492	4444	4570
493	4452	4560
494	4460	4550
495	4468	4540
496	4476	4530
497	4484	4520
498	4492	4510
499	4500	4500
500	4508	4490
501	4517	4481
502	4525	4471
503	4533	4461
504	4541	4451
505	4550	4442
506	4557	4431
507	4565	4422
508	4573	4411
509	4582	4402
510	4589	4392
511	4598	4382
512	4605	4372
513	4613	4362
514	4621	4352
515	4629	4342
516	4636	4332
517	4644	4321
518	4652	4312
519	4660	4302
520	4668	4292
521	4677	4282
522	4685	4273
523	4693	4263
524	4702	4254
525	4711	4245
526	4719	4236
527	4727	4226
528	4735	4216
529	4743	4206
530	4751	4196
531	4758	4186
532	4767	4176
533	4775	4167
534	4783	4157
535	4790	4147
536	4798	4137
537	4806	4127
538	4814	4118
539	4822	4108
540	4830	4098
541	4838	4088
542	4846	4079
543	4854	4069
544	4863	4060
545	4870	4049
546	4879	4040
547	4886	4030
548	4895	4021
549	4902	4011
550	4911	4002
551	4918	3992
552	4927	3982
553	4934	3972
554	4942	3963
555	4950	3953
556	4959	3944
557	5008	3966
558	5019	3959
559	5028	3951
560	5039	3943
561	5048	3934
562	5058	3926
563	5067	3917
564	5077	3909
565	5088	3901
566	5100	3895
567	5111	3887
568	5121	3879
569	5129	3869
570	5139	3861
571	5148	3852
572	5157	3843
573	5165	3833
574	5175	3825
575	5182	3815
576	5191	3805
577	5199	3795
578	5207	3786
579	5214	3776
580	5223	3766
581	5230	3756
582	5239	3747
583	5246	3737
584	5255	3728
585	5263	3718
586	5271	3708
587	5278	3698
588	5287	3689
589	5295	3679
590	5303	3670
591	5312	3661
592	5319	3651
593	5328	3642
594	5336	3632
595	5344	3622
596	5352	3613
597	5360	3603
598	5368	3593
599	5376	3584
600	5383	3574
601	5391	3564
602	5399	3554
603	5407	3545
604	5415	3535
605	5422	3525
606	5431	3516
607	5438	3506
608	5447	3497
609	5455	3487
610	5463	3478
611	5470	3468
612	5479	3459
613	5486	3449
614	5495	3440
615	5503	3430
616	5511	3421
617	5519	3411
618	5527	3402
619	5535	3392
620	5544	3383
621	5553	3374
622	5561	3365
623	5568	3355
624	5576	3346
625	5584	3336
626	5593	3327
627	5600	3317
628	5609	3308
629	5616	3298
630	5625	3289
631	5632	3279
632	5641	3270
633	5649	3261
634	5658	3252
635	5665	3242
636	5713	3255
637	5729	3250
638	5743	3244
639	5758	3239
640	5767	3229
641	5775	3220
642	5783	3211
643	5792	3201
644	5799	3192
645	5808	3182
646	5815	3173
647	5824	3164
648	5832	3154
649	5841	3145
650	5853	3138
651	5862	3128
652	5870	3119
653	5878	3109
654	5886	3100
655	5893	3090
656	5902	3081
657	5909	3071
658	5917	3062
659	5925	3052
660	5932	3042
661	5940	3033
662	5948	3023
663	5956	3014
664	5964	3004
665	5972	2995
